gpu__time_duration.sum,launch__block_dim_x,launch__block_dim_y,launch__block_dim_z,launch__block_size,launch__grid_dim_x,launch__grid_dim_y,launch__grid_dim_z,launch__grid_size,launch__thread_count,sm__cycles_active.avg,sm__warps_active.avg,sm__warps_active.avg.pct_of_peak_sustained_active,sm__warps_active.avg.peak_sustained,sm__warps_active.avg.per_cycle_active
msecond,block,block,block,-,-,-,-,-,thread,cycle,warp,%,warp,warp
17.61,1024,1,1,1024,32,32768,1,1048576,1073741824,37302781.82,1085455093,60.62,48,29.1
18.54,512,2,1,1024,64,16384,1,1048576,1073741824,37265752.51,1083382981,60.57,48,29.07
15.19,512,1,1,512,64,32768,1,2097152,1073741824,31610737.52,1311865410,86.46,48,41.5
18.28,256,4,1,1024,128,8192,1,1048576,1073741824,36631620.05,1073121868,61.03,48,29.29
16.11,256,2,1,512,128,16384,1,2097152,1073741824,31602267.05,1306412932,86.12,48,41.34
14.99,256,1,1,256,128,32768,1,4194304,1073741824,31124104.29,1363354396,91.26,48,43.8
15.84,128,4,1,512,256,8192,1,2097152,1073741824,31826184.07,1274860125,83.45,48,40.06
15.1,128,2,1,256,256,16384,1,4194304,1073741824,31450542.4,1317150714,87.25,48,41.88
15.46,128,1,1,128,256,32768,1,8388608,1073741824,30957896.17,1359614297,91.5,48,43.92
18.48,64,16,1,1024,512,2048,1,1048576,1073741824,37083255.16,1060645269,59.59,48,28.6
15.33,64,8,1,512,512,4096,1,2097152,1073741824,31956472.42,1264926276,82.46,48,39.58
14.09,64,4,1,256,512,8192,1,4194304,1073741824,31465208.39,1299310299,86.03,48,41.29
15.11,64,2,1,128,512,16384,1,8388608,1073741824,31273352.39,1337050541,89.07,48,42.75
14.97,64,1,1,64,512,32768,1,16777216,1073741824,30994220.88,1360663866,91.46,48,43.9
18.79,32,32,1,1024,1024,1024,1,1048576,1073741824,37596938.26,1051366582,58.26,48,27.96
15.28,32,8,1,256,1024,4096,1,4194304,1073741824,31846958.55,1273975698,83.34,48,40
15.09,32,4,1,128,1024,8192,1,8388608,1073741824,31432387.67,1312271468,86.98,48,41.75
14.83,16,16,1,256,2048,2048,1,4194304,1073741824,32016177.88,1324376295,86.18,48,41.37
15.96,16,8,1,128,2048,4096,1,8388608,1073741824,32151149.15,1357888327,87.99,48,42.23
15.35,16,4,1,64,2048,8192,1,16777216,1073741824,31892993.27,1355625267,88.55,48,42.51
22.79,16,2,1,32,2048,16384,1,33554432,1073741824,47377686.66,1022249353,44.95,48,21.58
46.56,16,1,1,16,2048,32768,1,67108864,1073741824,91432362.73,1883743754,42.92,48,20.6
16.38,8,8,1,64,4096,4096,1,16777216,1073741824,33017311.66,1411146875,89.04,48,42.74
22.68,8,4,1,32,4096,8192,1,33554432,1073741824,48434371.87,1044775326,44.94,48,21.57
45.76,8,2,1,16,4096,16384,1,67108864,1073741824,91431354.18,1913150087,43.59,48,20.92
96.77,8,1,1,8,4096,32768,1,134217728,1073741824,180123599.2,3700307513,42.8,48,20.54
43.57,4,4,1,16,8192,8192,1,67108864,1073741824,90920444.17,1948313288,44.64,48,21.43
82,4,2,1,8,8192,16384,1,134217728,1073741824,174760571.3,3733352960,44.51,48,21.36
306.62,2,1,1,2,16384,32768,1,536870912,1073741824,677768112.8,14351322257,44.11,48,21.17
